BS_YR_MON,GB,CT_PRVNC_CD,CT_PRVNC_NM,CT_CNTY_GU_CD,CT_CNTY_GU_NM,ADM_DONG_CD,ADM_DONG_NM,ONHS_YN_CD,FML_CNT,AVG_ICM,MED_ICM,AVG_SINCD_USE_AMT,AVG_CHKCD_USE_AMT,BAL_CNT,BNK_BAL_CNT,NBNK_BAL_CNT,CRDT_BAL_CNT,HOUS_BAL_CNT,AVG_BAL_AMT,AVG_BNK_BAL_AMT,AVG_NBNK_BAL_AMT,AVG_CRDT_BAL_AMT,AVG_HOUS_BAL_AMT
202001,ADM_DONG,29,광주광역시,29200,광산구,29200630,신가동,1,3632,8747,8344,1031,255,2645,1871,1863,2071,1555,10637,8528,6720,3464,9796
202001,ADM_DONG,43,충청북도,43112,청주시서원구,43112580,수곡2동,1,2349,8302,7846,809,238,1563,1092,1068,1124,924,9336,6209,7361,2774,7911
202001,ADM_DONG,46,전라남도,46710,담양군,46710360,무정면,1,353,7073,5600,383,154,211,51,203,168,63,10897,5075,9988,2578,6527
202001,ADM_DONG,41,경기도,41171,안양시만안구,41171540,안양4동,1,892,8510,8100,889,189,606,482,324,414,408,12718,10374,8272,3142,12359
202001,ADM_DONG,41,경기도,41590,화성시,41590360,팔탄면,1,880,8301,7000,944,214,656,311,578,496,358,18286,7788,16643,3126,12199
202001,ADM_DONG,46,전라남도,46770,고흥군,46770390,남양면,1,261,5434,4500,286,123,165,26,160,134,22,6937,4616,6369,3222,5423
202001,ADM_DONG,46,전라남도,46890,완도군,46890370,금당면,1,56,6241,5650,352,146,30,4,29,23,9,6384,7249,5735,3675,6483
202001,ADM_DONG,48,경상남도,48860,산청군,48860320,오부면,1,137,6248,5600,320,92,86,15,83,58,20,7608,3881,7214,2434,5641
202001,ADM_DONG,47,경상북도,47930,울진군,47930350,기성면,1,380,5247,4397.5,281,104,209,26,203,155,64,6634,5123,6194,2183,7060
202001,ADM_DONG,41,경기도,41360,남양주시,41360520,평내동,1,5199,9079,8700,1134,239,4231,3652,2448,3243,2995,13012,10846,6486,3905,11673
202001,ADM_DONG,47,경상북도,47150,김천시,47150575,대신동,1,3281,8012,7600,781,220,2187,1315,1582,1705,1252,9648,6487,8107,3189,7655
202001,ADM_DONG,30,대전광역시,30200,유성구,30200540,온천2동,1,6185,10248,9600,1173,205,4398,3596,2258,3413,2707,15628,12555,10699,4481,14298
202001,ADM_DONG,50,제주특별자치도,50130,서귀포시,50130259,성산읍,1,1671,7796,6700,746,223,1277,476,1139,1070,494,19504,16018,15288,4061,13093
202001,ADM_DONG,48,경상남도,48820,고성군,48820400,회화면,1,437,6518,5600,497,150,303,89,281,230,140,9011,3881,8555,2328,6754
202001,ADM_DONG,41,경기도,41150,의정부시,41150620,녹양동,1,2872,8893,8573,1167,213,2229,1788,1397,1644,1536,11745,9469,6873,3508,10478
202001,ADM_DONG,29,광주광역시,29110,동구,29110590,산수1동,1,955,7396,6600,722,159,607,392,410,443,354,14950,17409,5791,3439,18573
202001,ADM_DONG,43,충청북도,43130,충주시,43130250,주덕읍,1,571,7181,5800,501,179,397,98,374,301,178,9774,4409,9264,2453,7008
202001,ADM_DONG,46,전라남도,46720,곡성군,46720320,삼기면,1,302,5636,4700,285,109,148,33,141,114,27,5766,5711,4740,2416,7325
202001,ADM_DONG,46,전라남도,46820,해남군,46820390,마산면,1,340,5883,4800,331,153,201,54,189,149,30,7515,5693,6354,2789,7122
202001,ADM_DONG,47,경상북도,47920,봉화군,47920330,법전면,1,351,5745,4700,286,146,219,41,213,161,42,13034,4490,12505,3576,6964
202001,ADM_DONG,44,충청남도,44131,천안시동남구,44131310,풍세면,1,455,7812,6700,647,164,333,115,304,253,137,13249,6782,11926,3270,10134
202001,ADM_DONG,46,전라남도,46770,고흥군,46770450,동일면,1,162,6151,5300,397,125,98,23,93,87,18,6573,3584,6137,2049,8295
202001,ADM_DONG,46,전라남도,46710,담양군,46710250,담양읍,1,1512,7596,6800,616,162,989,333,901,790,393,11080,6146,9936,3478,8979
202001,ADM_DONG,45,전라북도,45180,정읍시,45180510,수성동,1,2063,7343,6945,731,199,1360,815,1026,1007,773,7664,4254,6797,2915,5445
202001,ADM_DONG,47,경상북도,47230,영천시,47230380,고경면,1,630,5783,5000,431,90,407,104,375,287,149,14138,8225,13096,2725,9958
202001,ADM_DONG,48,경상남도,48820,고성군,48820330,하이면,1,420,6232,5600,464,160,282,74,265,231,92,8900,5966,7749,3017,6940
202001,ADM_DONG,46,전라남도,46170,나주시,46170340,공산면,1,329,6462,5100,334,135,189,27,187,156,15,11770,4139,11284,3096,8054
202001,ADM_DONG,27,대구광역시,27110,중구,27110565,성내1동,1,409,7256,6603,614,133,223,148,148,147,150,10795,7743,8657,3001,10263
202001,ADM_DONG,46,전라남도,46910,신안군,46910410,팔금면,1,155,5188,3500,235,139,90,13,88,63,10,5184,3012,4961,2370,2966
202001,ADM_DONG,45,전라북도,45130,군산시,45130340,서수면,1,358,6611,5200,483,139,244,74,225,185,55,9155,4941,8437,2733,5960
202001,ADM_DONG,46,전라남도,46150,순천시,46150250,승주읍,1,414,6176,5200,307,124,210,57,191,156,50,6112,5701,5046,3152,5062
202001,ADM_DONG,43,충청북도,43740,영동군,43740350,상촌면,1,378,5705,5100,348,113,234,47,217,176,65,6607,5794,5782,2228,6266
202001,ADM_DONG,41,경기도,41210,광명시,41210633,하안3동,1,2962,8643,8300,946,191,2053,1775,965,1443,1405,12088,10771,6248,3601,11473
202001,ADM_DONG,41,경기도,41360,남양주시,41360250,와부읍,1,7807,9684,9000,1128,188,5855,4989,3267,4326,4049,16664,13189,9956,3843,14147
202001,ADM_DONG,43,충청북도,43760,괴산군,43760350,문광면,1,331,6149,5200,435,139,203,68,184,153,68,7331,4185,6649,2430,6208
202001,ADM_DONG,11,서울특별시,11620,관악구,11620695,신림동,1,747,8919,8200,886,216,485,383,273,362,255,12593,10080,8633,3086,11751
202001,ADM_DONG,46,전라남도,46770,고흥군,46770250,고흥읍,1,1445,7177,6370,717,192,990,432,827,833,389,8256,4986,7357,3576,6059
202001,ADM_DONG,41,경기도,41131,성남시수정구,41131570,수진1동,1,517,10811,11472,738,283,340,220,238,267,140,6506,5552,4268,2434,8977
202001,ADM_DONG,41,경기도,41830,양평군,41830340,옥천면,1,1136,8433,7500,902,151,844,492,660,649,471,18463,12044,14941,3850,17113
202001,ADM_DONG,41,경기도,41271,안산시상록구,41271570,부곡동,1,3485,7817,7400,944,236,2954,2277,2166,2193,2366,11188,7963,6949,3004,9122
