BS_YR_MON,GB,CT_PRVNC_CD,CT_PRVNC_NM,CT_CNTY_GU_CD,CT_CNTY_GU_NM,ADM_DONG_CD,ADM_DONG_NM,LN_CUST,LN_CNT,AVG_BAL_CNT,AVG_BAL_AMT,CARD_CUST,AVG_USE_AMT
202001,ADM_DONG,41,경기도,41220,평택시,41220600,원평동,184,228,1.24,1105,1663,800
202001,ADM_DONG,41,경기도,41220,평택시,41220610,통복동,53,74,1.40,769,515,794
202001,ADM_DONG,41,경기도,41220,평택시,41220320,서탄면,46,62,1.35,1421,304,1115
202001,ADM_DONG,41,경기도,41220,평택시,41220635,용이동,836,1068,1.28,1885,4784,1646
202001,ADM_DONG,41,경기도,41220,평택시,41220310,진위면,153,212,1.39,1314,1250,1317
202001,ADM_DONG,41,경기도,41220,평택시,41220330,고덕면,172,214,1.24,1415,1348,1338
202001,ADM_DONG,47,경상북도,47930,울진군,47930400,매화면,5,5,1.00,856,60,975
202001,ADM_DONG,47,경상북도,47930,울진군,47930350,기성면,10,12,1.20,362,109,83
202001,ADM_DONG,44,충청남도,44270,당진시,44270253,송악읍,737,1021,1.39,2141,4017,1657
202001,ADM_DONG,44,충청남도,44270,당진시,44270310,고대면,43,56,1.30,1274,343,1326
202001,ADM_DONG,47,경상북도,47930,울진군,47930360,온정면,8,11,1.38,652,72,1753
202001,ADM_DONG,47,경상북도,47930,울진군,47930370,죽변면,63,82,1.30,1719,588,1009
202001,ADM_DONG,44,충청남도,44270,당진시,44270320,석문면,132,162,1.23,1457,887,891
202001,ADM_DONG,41,경기도,41150,의정부시,41150530,의정부3동,241,304,1.26,746,2028,834
202001,ADM_DONG,47,경상북도,47930,울진군,47930380,후포면,35,43,1.23,1010,475,1147
202001,ADM_DONG,44,충청남도,44270,당진시,44270330,대호지면,18,20,1.11,806,95,937
202001,ADM_DONG,41,경기도,41150,의정부시,41150520,의정부2동,665,812,1.22,1031,5740,746
202001,ADM_DONG,44,충청남도,44270,당진시,44270340,정미면,20,22,1.10,843,293,704
202001,ADM_DONG,41,경기도,41150,의정부시,41150545,호원1동,749,992,1.32,1315,5560,1247
202001,ADM_DONG,44,충청남도,44270,당진시,44270350,면천면,14,14,1.00,376,175,401
202001,ADM_DONG,41,경기도,41150,의정부시,41150555,호원2동,752,966,1.28,1658,5373,1421
202001,ADM_DONG,44,충청남도,44270,당진시,44270520,당진2동,422,609,1.44,1958,2758,1279
202001,ADM_DONG,44,충청남도,44270,당진시,44270510,당진1동,559,755,1.35,1801,3627,1246
202001,ADM_DONG,41,경기도,41150,의정부시,41150573,송산1동,527,697,1.32,1088,4301,881
202001,ADM_DONG,41,경기도,41150,의정부시,41150568,신곡2동,838,1015,1.21,1274,6943,875
202001,ADM_DONG,41,경기도,41150,의정부시,41150620,녹양동,375,487,1.30,1107,3259,945
202001,ADM_DONG,41,경기도,41150,의정부시,41150595,가능동,426,524,1.23,1228,3989,911
202001,ADM_DONG,41,경기도,41150,의정부시,41150580,자금동,475,610,1.28,1200,4241,922
202001,ADM_DONG,41,경기도,41150,의정부시,41150510,의정부1동,354,402,1.14,820,3339,622
202001,ADM_DONG,41,경기도,41150,의정부시,41150615,흥선동,294,354,1.20,864,2999,792
202001,ADM_DONG,44,충청남도,44270,당진시,44270360,순성면,29,34,1.17,774,279,610
202001,ADM_DONG,44,충청남도,44270,당진시,44270370,우강면,25,26,1.04,684,304,430
202001,ADM_DONG,41,경기도,41150,의정부시,41150576,송산2동,2220,2809,1.27,1354,14338,1211
202001,ADM_DONG,44,충청남도,44270,당진시,44270380,신평면,225,314,1.40,1328,1620,1033
202001,ADM_DONG,44,충청남도,44270,당진시,44270390,송산면,326,441,1.35,2301,1515,2079
202001,ADM_DONG,41,경기도,41150,의정부시,41150561,장암동,434,561,1.29,1433,2803,882
202001,ADM_DONG,41,경기도,41150,의정부시,41150567,신곡1동,862,1093,1.27,1410,6697,1157
202001,ADM_DONG,44,충청남도,44270,당진시,44270530,당진3동,350,486,1.39,2047,2517,1835
202001,ADM_DONG,44,충청남도,44270,당진시,44270250,합덕읍,51,88,1.73,1196,649,1578
